reciprocity_semantic,liking_semantic,social_proof_semantic,authority_semantic,scarcity_semantic,commitment_consistency_semantic
0.9644353985786438,0.8611712455749512,0.869173526763916,0.9022520780563354,0.7746081948280334,0.8433297872543335
0.8537450432777405,0.9260829091072083,0.8956637978553772,0.8509782552719116,0.7935076355934143,0.4087415933609009
0.13672763109207153,0.07457925379276276,0.10074284672737122,0.07174327224493027,0.03773238882422447,0.030384080484509468
0.8948509693145752,0.8856098055839539,0.7825338244438171,0.8168658018112183,0.17343948781490326,0.07365012168884277
0.8317189812660217,0.7274101376533508,0.7944703102111816,0.7817601561546326,0.5320028066635132,0.7231695055961609
0.6689627170562744,0.9547402858734131,0.12824955582618713,0.09373920410871506,0.023307671770453453,0.01389267761260271
0.9925057888031006,0.780211865901947,0.8975393772125244,0.9759767055511475,0.753349781036377,0.9986973404884338
0.8742473721504211,0.5697858333587646,0.7306357622146606,0.7156444191932678,0.4939275085926056,0.2577381134033203
0.9915367364883423,0.8979364633560181,0.9120656847953796,0.8873764276504517,0.5373044013977051,0.6810144782066345
0.9814818501472473,0.8758008480072021,0.6081953048706055,0.9620085954666138,0.4541710913181305,0.8254523277282715
0.9076281785964966,0.5433201789855957,0.5227277874946594,0.661984920501709,0.18472276628017426,0.3975782096385956
0.9441176652908325,0.8491587042808533,0.4733111560344696,0.8428894877433777,0.18599587678909302,0.2328527867794037
0.98966383934021,0.8057738542556763,0.6816519498825073,0.8984559774398804,0.34788429737091064,0.6770694255828857
0.5965759754180908,0.2872997522354126,0.45142045617103577,0.6499224305152893,0.49458640813827515,0.3091844916343689
0.9499366283416748,0.9087757468223572,0.9150612950325012,0.9362210035324097,0.8006898760795593,0.9489861726760864
0.8998097777366638,0.5240472555160522,0.8139970898628235,0.8677391409873962,0.6652849316596985,0.9715255498886108
0.7381172180175781,0.5394901037216187,0.3450521230697632,0.6270807981491089,0.4510796368122101,0.5598447918891907
0.987023115158081,0.7589032649993896,0.6979009509086609,0.7880931496620178,0.4829667806625366,0.9102879762649536
0.9769154191017151,0.825388491153717,0.9551182389259338,0.9527100324630737,0.9743208885192871,0.7211372256278992
0.9837990999221802,0.6381723284721375,0.6872134804725647,0.8557905554771423,0.3838447630405426,0.7613485455513
0.974034309387207,0.7758153676986694,0.8900414705276489,0.9775622487068176,0.762744128704071,0.8448870778083801
0.9282848238945007,0.8041267395019531,0.6266281008720398,0.7382535338401794,0.3455115258693695,0.9183130860328674
0.9103143811225891,0.8742868900299072,0.7970514893531799,0.8610367178916931,0.8374969363212585,0.6672237515449524
